Fase;Kelas;Semester;Elemen/Bab;Capaian Pembelajaran (CP Panjang);Tujuan Pembelajaran (TP);8 Dimensi Profil Lulusan
Fase A;1;Ganjil;Al-Qur'an Hadis / Bab 1;Peserta didik mengenal huruf hijaiyah dan harakatnya serta huruf hijaiyah bersambung dan mampu membaca surah-surah pendek Al-Qur'an dengan baik.;Peserta didik mampu melafalkan huruf hijaiyah secara mandiri dengan makharijul huruf yang benar.;Keimanan, Komunikasi
Fase A;1;Ganjil;Al-Qur'an Hadis / Bab 1;Peserta didik mengenal huruf hijaiyah dan harakatnya serta huruf hijaiyah bersambung dan mampu membaca surah-surah pendek Al-Qur'an dengan baik.;Peserta didik mampu mengidentifikasi harakat dasar (fathah kasrah dhammah) pada huruf hijaiyah.;Penalaran Kritis, Kemandirian
Fase A;1;Ganjil;Al-Qur'an Hadis / Bab 1;Peserta didik mengenal huruf hijaiyah dan harakatnya serta huruf hijaiyah bersambung dan mampu membaca surah-surah pendek Al-Qur'an dengan baik.;Peserta didik mampu melafalkan surah Al-Fatihah dengan tartil.;Keimanan, Komunikasi
Fase A;1;Ganjil;Akidah / Bab 2;Peserta didik mengenal rukun iman dan rukun Islam sebagai dasar keimanan dan ketakwaan kepada Allah SWT.;Peserta didik mampu menyebutkan enam rukun iman dengan urutan yang benar.;Keimanan, Penalaran Kritis
Fase A;1;Ganjil;Akidah / Bab 2;Peserta didik mengenal rukun iman dan rukun Islam sebagai dasar keimanan dan ketakwaan kepada Allah SWT.;Peserta didik mampu menyebutkan lima rukun Islam dengan urutan yang benar.;Keimanan, Penalaran Kritis
Fase A;1;Ganjil;Akhlak / Bab 3;Peserta didik memahami dan menerapkan akhlak terpuji dalam kehidupan sehari-hari di lingkungan keluarga dan sekolah.;Peserta didik mampu menunjukkan sikap jujur dalam berbagai situasi di sekolah.;Keimanan, Kewargaan
Fase A;1;Ganjil;Akhlak / Bab 3;Peserta didik memahami dan menerapkan akhlak terpuji dalam kehidupan sehari-hari di lingkungan keluarga dan sekolah.;Peserta didik mampu membiasakan mengucapkan salam ketika bertemu guru dan teman.;Komunikasi, Kolaborasi
Fase A;1;Ganjil;Fikih / Bab 4;Peserta didik mengenal tata cara bersuci (thaharah) dan dapat mempraktikkannya dalam kehidupan sehari-hari.;Peserta didik mampu menjelaskan pengertian dan pentingnya bersuci (thaharah).;Keimanan, Kesehatan
Fase A;1;Ganjil;Fikih / Bab 4;Peserta didik mengenal tata cara bersuci (thaharah) dan dapat mempraktikkannya dalam kehidupan sehari-hari.;Peserta didik mampu mempraktikkan cara berwudhu dengan urutan yang benar.;Keimanan, Kemandirian, Kesehatan
Fase A;1;Genap;Al-Qur'an Hadis / Bab 5;Peserta didik mampu membaca surah-surah pendek pilihan dan memahami kandungan maknanya secara sederhana.;Peserta didik mampu melafalkan surah An-Nas dengan tartil.;Keimanan, Komunikasi
Fase A;1;Genap;Al-Qur'an Hadis / Bab 5;Peserta didik mampu membaca surah-surah pendek pilihan dan memahami kandungan maknanya secara sederhana.;Peserta didik mampu melafalkan surah Al-Falaq dengan tartil.;Keimanan, Komunikasi
Fase A;1;Genap;Al-Qur'an Hadis / Bab 5;Peserta didik mampu membaca surah-surah pendek pilihan dan memahami kandungan maknanya secara sederhana.;Peserta didik mampu menjelaskan isi kandungan surah An-Nas secara sederhana.;Keimanan, Penalaran Kritis
Fase A;1;Genap;Akidah / Bab 6;Peserta didik mengenal sifat-sifat Allah SWT dan dapat mengimplementasikannya dalam kehidupan sehari-hari.;Peserta didik mampu menyebutkan sifat-sifat wajib Allah.;Keimanan, Penalaran Kritis
Fase A;1;Genap;Akidah / Bab 6;Peserta didik mengenal sifat-sifat Allah SWT dan dapat mengimplementasikannya dalam kehidupan sehari-hari.;Peserta didik mampu menjelaskan makna Asmaul Husna Al-Khaliq dan Ar-Rahman.;Keimanan, Komunikasi
Fase A;1;Genap;Akhlak / Bab 7;Peserta didik memahami adab terhadap orang tua dan guru serta dapat menerapkannya.;Peserta didik mampu menunjukkan sikap hormat kepada orang tua di rumah.;Keimanan, Kewargaan
Fase A;1;Genap;Akhlak / Bab 7;Peserta didik memahami adab terhadap orang tua dan guru serta dapat menerapkannya.;Peserta didik mampu menunjukkan sikap hormat kepada guru di sekolah.;Keimanan, Kewargaan
Fase A;1;Genap;Fikih / Bab 8;Peserta didik mengenal shalat wajib lima waktu dan tata caranya.;Peserta didik mampu menyebutkan nama-nama shalat wajib lima waktu.;Keimanan, Penalaran Kritis
Fase A;1;Genap;Fikih / Bab 8;Peserta didik mengenal shalat wajib lima waktu dan tata caranya.;Peserta didik mampu menghafal bacaan shalat dengan benar.;Keimanan, Komunikasi
Fase A;1;Genap;Fikih / Bab 8;Peserta didik mengenal shalat wajib lima waktu dan tata caranya.;Peserta didik mampu mempraktikkan gerakan shalat dengan tertib.;Keimanan, Kemandirian
