Fase;Kelas;Semester;Elemen/Bab;Capaian Pembelajaran (CP Panjang);Tujuan Pembelajaran (TP);8 Dimensi Profil Lulusan
Fase A;1;Ganjil;Al-Qur'an Hadis / Bab 1;Peserta didik mengenal huruf hijaiyah dan harakatnya, huruf hijaiyah bersambung, dan mampu membaca surah-surah pendek Al-Qur'an dengan baik.;Peserta didik mampu melafalkan huruf hijaiyah secara mandiri dengan makharijul huruf yang benar.;Keimanan dan Ketakwaan terhadap Tuhan YME, Komunikasi
Fase A;1;Ganjil;Al-Qur'an Hadis / Bab 1;Peserta didik mengenal huruf hijaiyah dan harakatnya, huruf hijaiyah bersambung, dan mampu membaca surah-surah pendek Al-Qur'an dengan baik.;Peserta didik mampu mengidentifikasi harakat dasar (fathah, kasrah, dhammah) pada huruf hijaiyah.;Penalaran Kritis, Kemandirian
Fase A;1;Ganjil;Al-Qur'an Hadis / Bab 1;Peserta didik mengenal huruf hijaiyah dan harakatnya, huruf hijaiyah bersambung, dan mampu membaca surah-surah pendek Al-Qur'an dengan baik.;Peserta didik mampu merangkai bacaan huruf hijaiyah berharakat menjadi kata sederhana.;Penalaran Kritis, Kreativitas
Fase A;1;Ganjil;Akidah / Bab 2;Peserta didik mengenal rukun iman kepada Allah melalui nama-namanya yang agung (asmaulhusna) dan mengenal para malaikat dan tugas yang diembannya.;Peserta didik mampu menyebutkan 6 Rukun Iman secara berurutan.;Keimanan dan Ketakwaan terhadap Tuhan YME, Kemandirian
Fase A;1;Ganjil;Akidah / Bab 2;Peserta didik mengenal rukun iman kepada Allah melalui nama-namanya yang agung (asmaulhusna) dan mengenal para malaikat dan tugas yang diembannya.;Peserta didik mampu menjelaskan makna iman kepada Allah swt sebagai pencipta alam semesta.;Penalaran Kritis, Komunikasi
Fase A;1;Ganjil;Akidah / Bab 2;Peserta didik mengenal rukun iman kepada Allah melalui nama-namanya yang agung (asmaulhusna) dan mengenal para malaikat dan tugas yang diembannya.;Peserta didik mampu menunjukkan sikap meyakini rukun iman dalam kehidupan sehari-hari.;Keimanan dan Ketakwaan terhadap Tuhan YME, Kesehatan
Fase A;1;Ganjil;Akhlak / Bab 3;Peserta didik terbiasa mempraktikkan nilai-nilai baik dalam kehidupan sehari-hari dalam ungkapan-ungkapan positif baik untuk dirinya maupun sesama manusia, terutama orang tua dan guru.;Peserta didik mampu melafalkan kalimat basmalah dan hamdalah dengan fasih.;Keimanan dan Ketakwaan terhadap Tuhan YME, Komunikasi
Fase A;1;Ganjil;Akhlak / Bab 3;Peserta didik terbiasa mempraktikkan nilai-nilai baik dalam kehidupan sehari-hari dalam ungkapan-ungkapan positif baik untuk dirinya maupun sesama manusia, terutama orang tua dan guru.;Peserta didik mampu menjelaskan waktu yang tepat untuk mengucapkan basmalah dan hamdalah.;Penalaran Kritis, Kemandirian
Fase A;1;Ganjil;Akhlak / Bab 3;Peserta didik terbiasa mempraktikkan nilai-nilai baik dalam kehidupan sehari-hari dalam ungkapan-ungkapan positif baik untuk dirinya maupun sesama manusia, terutama orang tua dan guru.;Peserta didik mampu membiasakan diri mengucapkan kalimat thayyibah dalam aktivitas sehari-hari.;Keimanan dan Ketakwaan terhadap Tuhan YME, Kesehatan
Fase A;1;Ganjil;Fikih / Bab 4;Peserta didik mampu mengenal rukun Islam dan kalimah syahadatain, menerapkan tata cara bersuci, salat fardu, azan, ikamah, zikir dan berdoa setelah salat.;Peserta didik mampu melafalkan dua kalimat syahadat beserta artinya dengan benar.;Keimanan dan Ketakwaan terhadap Tuhan YME, Komunikasi
Fase A;1;Ganjil;Fikih / Bab 4;Peserta didik mampu mengenal rukun Islam dan kalimah syahadatain, menerapkan tata cara bersuci, salat fardu, azan, ikamah, zikir dan berdoa setelah salat.;Peserta didik mampu menyebutkan 5 Rukun Islam secara berurutan.;Kemandirian, Penalaran Kritis
Fase A;1;Ganjil;Fikih / Bab 4;Peserta didik mampu mengenal rukun Islam dan kalimah syahadatain, menerapkan tata cara bersuci, salat fardu, azan, ikamah, zikir dan berdoa setelah salat.;Peserta didik mampu menampilkan sikap teguh dalam menjalankan rukun Islam sejak dini.;Keimanan dan Ketakwaan terhadap Tuhan YME, Kemandirian
Fase A;1;Ganjil;Sejarah Peradaban Islam / Bab 5;Peserta didik mampu menceritakan secara sederhana kisah beberapa nabi yang wajib diimani.;Peserta didik mampu menyebutkan nama nabi dan rasul yang wajib diketahui, khususnya Nabi Muhammad saw.;Keimanan dan Ketakwaan terhadap Tuhan YME, Komunikasi
Fase A;1;Ganjil;Sejarah Peradaban Islam / Bab 5;Peserta didik mampu menceritakan secara sederhana kisah beberapa nabi yang wajib diimani.;Peserta didik mampu menceritakan kembali secara sederhana kisah masa kecil Nabi Muhammad saw.;Komunikasi, Kreativitas
Fase A;1;Ganjil;Sejarah Peradaban Islam / Bab 5;Peserta didik mampu menceritakan secara sederhana kisah beberapa nabi yang wajib diimani.;Peserta didik mampu meneladani sikap jujur dan mandiri dari kisah masa kecil Nabi Muhammad saw.;Kemandirian, Kewargaan
Fase A;1;Genap;Al-Qur'an Hadis / Bab 6;Peserta didik mengenal huruf hijaiyah dan harakatnya, huruf hijaiyah bersambung, dan mampu membaca surah-surah pendek Al-Qur'an dengan baik.;Peserta didik mampu melafalkan ayat per ayat Surah Al-Fatihah dengan makhraj yang benar.;Keimanan dan Ketakwaan terhadap Tuhan YME, Komunikasi
