Fase;Kelas;Semester;Elemen/Bab;Capaian Pembelajaran (CP Panjang);Tujuan Pembelajaran (TP);8 Dimensi Profil Lulusan
Fase E;10;Ganjil;Al-Qur'an Hadis / Bab 1;Peserta didik mampu menganalisis ayat Al-Qur'an dan hadis tentang perintah untuk berkompetisi dalam kebaikan, etos kerja, kontrol diri, dan persaudaraan.;Peserta didik mampu membaca dan menghafal ayat tentang kontrol diri (mujahadah an-nafs), prasangka baik, dan persaudaraan.;Keimanan dan Ketakwaan terhadap Tuhan YME, Kemandirian
Fase E;10;Ganjil;Al-Qur'an Hadis / Bab 1;Peserta didik mampu menganalisis ayat Al-Qur'an dan hadis tentang perintah untuk berkompetisi dalam kebaikan, etos kerja, kontrol diri, dan persaudaraan.;Peserta didik mampu menganalisis pesan pokok Al-Qur'an terkait pentingnya mengendalikan hawa nafsu dan menghindari prasangka buruk.;Penalaran Kritis, Kewargaan
Fase E;10;Ganjil;Al-Qur'an Hadis / Bab 1;Peserta didik mampu menganalisis ayat Al-Qur'an dan hadis tentang perintah untuk berkompetisi dalam kebaikan, etos kerja, kontrol diri, dan persaudaraan.;Peserta didik mampu mempraktikkan sikap persaudaraan (ukhuwah) yang rukun dan damai di lingkungan sekolah.;Kewargaan, Kolaborasi
Fase E;10;Ganjil;Akidah / Bab 2;Peserta didik menganalisis makna syu'abul iman (cabang-cabang iman), pengertian, dalil, macam dan manfaatnya.;Peserta didik mampu menjelaskan pengertian dan dalil tentang syu'abul iman (cabang-cabang iman).;Keimanan dan Ketakwaan terhadap Tuhan YME, Penalaran Kritis
Fase E;10;Ganjil;Akidah / Bab 2;Peserta didik menganalisis makna syu'abul iman (cabang-cabang iman), pengertian, dalil, macam dan manfaatnya.;Peserta didik mampu memetakan macam-macam cabang iman yang berkaitan dengan niat, lisan, dan perbuatan.;Penalaran Kritis, Kreativitas
Fase E;10;Ganjil;Akidah / Bab 2;Peserta didik menganalisis makna syu'abul iman (cabang-cabang iman), pengertian, dalil, macam dan manfaatnya.;Peserta didik mampu menerapkan nilai-nilai syu'abul iman untuk membentuk karakter pribadi yang berintegritas.;Kemandirian, Keimanan dan Ketakwaan terhadap Tuhan YME
Fase E;10;Ganjil;Akhlak / Bab 3;Peserta didik menganalisis manfaat menghindari akhlak tercela (pergaulan bebas, zina) dan membiasakan akhlak terpuji.;Peserta didik mampu menganalisis bahaya pergaulan bebas dan zina menurut pandangan agama dan medis.;Penalaran Kritis, Kesehatan
Fase E;10;Ganjil;Akhlak / Bab 3;Peserta didik menganalisis manfaat menghindari akhlak tercela (pergaulan bebas, zina) dan membiasakan akhlak terpuji.;Peserta didik mampu merumuskan cara-cara efektif menghindari pergaulan bebas di era digital.;Penalaran Kritis, Komunikasi
Fase E;10;Ganjil;Akhlak / Bab 3;Peserta didik menganalisis manfaat menghindari akhlak tercela (pergaulan bebas, zina) dan membiasakan akhlak terpuji.;Peserta didik mampu membiasakan diri menutup aurat dan berpakaian Islami sebagai bentuk penjagaan kehormatan diri.;Kesehatan, Kemandirian
Fase E;10;Ganjil;Fikih / Bab 4;Peserta didik mampu menganalisis implementasi fikih muamalah, al-kulliyyat al-khamsah, serta ketentuan haji dan wakaf.;Peserta didik mampu menjelaskan konsep dasar dan tujuan fikih muamalah al-maliyah dalam Islam.;Keimanan dan Ketakwaan terhadap Tuhan YME, Penalaran Kritis
Fase E;10;Ganjil;Fikih / Bab 4;Peserta didik mampu menganalisis implementasi fikih muamalah, al-kulliyyat al-khamsah, serta ketentuan haji dan wakaf.;Peserta didik mampu menganalisis prinsip kerja asuransi, bank, dan koperasi syariah di era modern.;Penalaran Kritis, Kewargaan
Fase E;10;Ganjil;Fikih / Bab 4;Peserta didik mampu menganalisis implementasi fikih muamalah, al-kulliyyat al-khamsah, serta ketentuan haji dan wakaf.;Peserta didik mampu menyajikan paparan/presentasi tentang perbedaan transaksi syariah dan konvensional.;Komunikasi, Kolaborasi
Fase E;10;Ganjil;Sejarah Peradaban Islam / Bab 5;Peserta didik mampu menganalisis sejarah dakwah Rasulullah saw. di Makkah dan Madinah, serta perkembangan peradaban Islam di masa keemasan.;Peserta didik mampu menganalisis substansi dan strategi dakwah Rasulullah saw. pada periode Makkah dan Madinah.;Penalaran Kritis, Kewargaan
Fase E;10;Ganjil;Sejarah Peradaban Islam / Bab 5;Peserta didik mampu menganalisis sejarah dakwah Rasulullah saw. di Makkah dan Madinah, serta perkembangan peradaban Islam di masa keemasan.;Peserta didik mampu mengevaluasi keberhasilan Rasulullah membangun masyarakat Madinah yang toleran dan berkeadilan.;Penalaran Kritis, Kolaborasi
Fase E;10;Ganjil;Sejarah Peradaban Islam / Bab 5;Peserta didik mampu menganalisis sejarah dakwah Rasulullah saw. di Makkah dan Madinah, serta perkembangan peradaban Islam di masa keemasan.;Peserta didik mampu meneladani cara dakwah Rasulullah yang damai (rahmatan lil 'alamin) dalam kehidupan berbangsa.;Kewargaan, Keimanan dan Ketakwaan terhadap Tuhan YME
Fase E;10;Genap;Al-Qur'an Hadis / Bab 6;Peserta didik mampu menganalisis ayat Al-Qur'an dan hadis tentang perintah untuk berkompetisi dalam kebaikan, etos kerja, kontrol diri, dan persaudaraan.;Peserta didik mampu membaca dan mendemonstrasikan hafalan ayat tentang perintah berkompetisi dalam kebaikan (fastabiqul khairat).;Keimanan dan Ketakwaan terhadap Tuhan YME, Komunikasi
Fase E;10;Genap;Al-Qur'an Hadis / Bab 6;Peserta didik mampu menganalisis ayat Al-Qur'an dan hadis tentang perintah untuk berkompetisi dalam kebaikan, etos kerja, kontrol diri, dan persaudaraan.;Peserta didik mampu menjelaskan keterkaitan antara fastabiqul khairat dengan pentingnya etos kerja yang tinggi.;Penalaran Kritis, Kemandirian
Fase E;10;Genap;Al-Qur'an Hadis / Bab 6;Peserta didik mampu menganalisis ayat Al-Qur'an dan hadis tentang perintah untuk berkompetisi dalam kebaikan, etos kerja, kontrol diri, dan persaudaraan.;Peserta didik mampu menerapkan budaya kerja keras dan berlomba-lomba meraih prestasi akademik maupun non-akademik.;Kemandirian, Kreativitas
Fase E;10;Genap;Akidah / Bab 7;Peserta didik menganalisis makna syu'abul iman (cabang-cabang iman), pengertian, dalil, macam dan manfaatnya.;Peserta didik mampu menjelaskan hakikat Iman, Islam, dan Ihsan secara komprehensif.;Keimanan dan Ketakwaan terhadap Tuhan YME, Penalaran Kritis
Fase E;10;Genap;Akidah / Bab 7;Peserta didik menganalisis makna syu'abul iman (cabang-cabang iman), pengertian, dalil, macam dan manfaatnya.;Peserta didik mampu menganalisis hubungan yang saling mengikat antara Iman, Islam, dan Ihsan.;Penalaran Kritis, Kemandirian
Fase E;10;Genap;Akidah / Bab 7;Peserta didik menganalisis makna syu'abul iman (cabang-cabang iman), pengertian, dalil, macam dan manfaatnya.;Peserta didik mampu membiasakan diri beribadah (Ihsan) seolah-olah melihat Allah atau diawasi oleh Allah.;Keimanan dan Ketakwaan terhadap Tuhan YME, Kesehatan mental
Fase E;10;Genap;Akhlak / Bab 8;Peserta didik menganalisis manfaat menghindari akhlak tercela (pergaulan bebas, zina) dan membiasakan akhlak terpuji.;Peserta didik mampu menjelaskan pengertian dan pentingnya sikap syaja'ah (berani membela kebenaran).;Keimanan dan Ketakwaan terhadap Tuhan YME, Penalaran Kritis
